provider_id,total_claims,avg_risk_score,fraud_rate,avg_amount,max_frequency,evidence_statement,audit_priority
P122,49,0.3553886883426765,0.0,975.6292173058696,15,Normal activity patterns observed.,Low
P123,70,0.34137540944549916,0.014285714285714285,919.6596803979922,15,Normal activity patterns observed.,Low
P124,75,0.35471398916170954,0.02666666666666667,871.5828124939886,15,Normal activity patterns observed.,Low
P125,70,0.34839682578298203,0.014285714285714285,1002.4999988889299,15,Normal activity patterns observed.,Low
P126,60,0.3338895375323519,0.016666666666666666,1065.524289454449,15,Normal activity patterns observed.,Low
P127,60,0.3558309226516431,0.03333333333333333,962.9958412142963,15,Normal activity patterns observed.,Low
P128,76,0.33692755679514974,0.0,941.5620794264676,15,Normal activity patterns observed.,Low
P129,86,0.3731344981685741,0.046511627906976744,1134.5958296023286,15,Normal activity patterns observed.,Low
P130,52,0.3319833037678949,0.0,764.5946147313529,15,Normal activity patterns observed.,Low
P131,63,0.33971024629138147,0.031746031746031744,877.3722915423425,15,Normal activity patterns observed.,Low
P132,58,0.32463040714747743,0.017241379310344827,940.5370284757536,15,Normal activity patterns observed.,Low
P133,79,0.32704588347358415,0.0,996.5785854117738,15,Normal activity patterns observed.,Low
P134,79,0.6518162025315433,0.5063291139240507,999.5686204556613,17,High anomaly rate: 50.6% of claims flagged.,Medium
P135,65,0.3281020927277833,0.0,1095.9006867911178,15,Normal activity patterns observed.,Low
P136,56,0.369552862462967,0.03571428571428571,957.5494407665916,15,Normal activity patterns observed.,Low
P137,61,0.35675049993113456,0.04918032786885246,990.8415514722922,15,Normal activity patterns observed.,Low
P138,84,0.3479213336036907,0.023809523809523808,1070.1202265228158,15,Normal activity patterns observed.,Low
P139,70,0.34458835577011476,0.0,1023.3632000801086,15,Normal activity patterns observed.,Low
P140,69,0.32782019064687323,0.014492753623188406,982.3061879212703,15,Normal activity patterns observed.,Low
P141,71,0.3390852840295734,0.0,1032.2659546890575,15,Normal activity patterns observed.,Low
P142,48,0.3361432345773001,0.041666666666666664,980.8695192646709,15,Normal activity patterns observed.,Low
P143,63,0.6418048349153355,0.4126984126984127,972.0517264887226,17,Normal activity patterns observed.,Medium
P144,65,0.31597338839325,0.015384615384615385,1028.7781551725984,15,Normal activity patterns observed.,Low
P145,80,0.37449713437025633,0.05,1000.5004920334693,15,Normal activity patterns observed.,Low
P146,70,0.34897530553610095,0.014285714285714285,927.3056912947801,15,Normal activity patterns observed.,Low
P147,87,0.364668041621947,0.05747126436781609,1118.9691607984344,15,Normal activity patterns observed.,Low
P148,80,0.33339840759230227,0.0125,1038.6907021576835,15,Normal activity patterns observed.,Low
P149,72,0.35508003123126824,0.013888888888888888,1014.5685613449461,15,Normal activity patterns observed.,Low
P150,66,0.3279367381601907,0.0,916.2668034983926,15,Normal activity patterns observed.,Low
